label,class_p_global,class_r_global,class_f1_global,bbox_p_global,bbox_r_global,bbox_f1_global,ious_global,intersections_global
Bombussylvarum,0.898,0.96,0.928,0.675,0.722,0.698,0.647,0.822
Ceratinacucurbitina,0.931,0.928,0.93,0.582,0.581,0.581,0.634,0.867
Amegillaquadrifasciata,0.853,0.853,0.853,0.44,0.44,0.44,0.641,0.823
Andrenavaga,0.912,0.954,0.932,0.644,0.673,0.658,0.629,0.838
Osmiabicolor,0.844,0.964,0.9,0.492,0.562,0.525,0.625,0.851
Bombuscampestris,0.882,0.953,0.916,0.682,0.737,0.709,0.653,0.816
Bombuslucorum,0.879,0.949,0.913,0.626,0.677,0.65,0.642,0.799
Bombuspratorum,0.948,0.97,0.959,0.799,0.818,0.808,0.67,0.815
Macropiseuropaea,0.928,0.899,0.913,0.71,0.689,0.699,0.645,0.795
Lithurguschrysurus,0.898,0.939,0.918,0.723,0.756,0.739,0.651,0.796
Osmiabicornis,0.93,0.9,0.915,0.714,0.691,0.702,0.655,0.851
Anthophoraplumipes,0.936,0.955,0.946,0.691,0.705,0.698,0.642,0.851
Rhodanthidiumsticticum,0.928,0.921,0.924,0.608,0.603,0.606,0.631,0.82
Bombuslapidarius,0.935,0.958,0.946,0.725,0.743,0.734,0.665,0.837
terrestrislusitanicus,0.866,0.947,0.905,0.615,0.673,0.642,0.633,0.776
Bombuspascuorum,0.924,0.957,0.94,0.786,0.814,0.8,0.679,0.799
Colleteshederae,0.929,0.949,0.939,0.776,0.793,0.785,0.677,0.822
Andrenanigroaenea,0.941,0.98,0.96,0.667,0.694,0.68,0.652,0.846
Osmiacornuta,0.949,0.846,0.895,0.651,0.58,0.614,0.645,0.852
Andrenaagilissima,0.96,0.945,0.953,0.571,0.562,0.567,0.647,0.859
Colletescunicularius,0.916,0.906,0.911,0.607,0.6,0.603,0.645,0.822
Andrenanycthemera,0.964,1.0,0.982,0.784,0.813,0.798,0.659,0.827
Andrenanitida,0.901,0.96,0.93,0.631,0.673,0.651,0.642,0.837
Xylocopaviolacea,0.948,0.981,0.964,0.807,0.835,0.821,0.655,0.802
Andrenabicolor,0.894,0.952,0.922,0.568,0.605,0.586,0.656,0.863
Chelostomaflorisomne,0.919,0.905,0.912,0.689,0.679,0.684,0.639,0.826
Bombusrupestris,0.889,0.944,0.916,0.612,0.649,0.63,0.632,0.831
Andrenafulva,0.95,0.96,0.955,0.782,0.79,0.786,0.655,0.839
Bombusargillaceus,0.886,0.921,0.904,0.627,0.652,0.639,0.631,0.847
Anthidiummanicatum,0.945,0.945,0.945,0.701,0.701,0.701,0.649,0.817
Andrenahattorfiana,0.884,0.916,0.899,0.509,0.528,0.518,0.627,0.845
Andrenaflavipes,0.95,0.959,0.955,0.671,0.676,0.673,0.654,0.838
Andrenathoracica,0.891,0.882,0.886,0.62,0.613,0.616,0.631,0.817
Osmiacaerulescens,0.883,0.876,0.88,0.5,0.496,0.498,0.631,0.843
Melectaalbifrons,0.917,0.899,0.908,0.654,0.642,0.648,0.65,0.811
Anthidiumflorentinum,0.917,0.911,0.914,0.642,0.638,0.64,0.642,0.786
Halictusrubicundus,0.881,0.986,0.93,0.497,0.556,0.525,0.65,0.863
Apismellifera,0.946,0.959,0.952,0.804,0.815,0.81,0.679,0.847
Bombushortorum,0.914,0.951,0.932,0.724,0.753,0.738,0.661,0.802
Bombusbohemicus,0.877,0.943,0.909,0.509,0.547,0.527,0.637,0.852
Anthophorafurcata,0.879,0.967,0.921,0.606,0.667,0.635,0.645,0.88
Bombusmuscorum,0.91,0.942,0.926,0.64,0.663,0.651,0.639,0.782
Andrenadenticulata,0.922,0.988,0.954,0.622,0.667,0.644,0.631,0.855
Megachileericetorum,0.912,0.918,0.915,0.708,0.712,0.71,0.652,0.787
Megachilesculpturalis,0.838,0.88,0.859,0.475,0.498,0.486,0.628,0.82
Dasypodahirtipes,0.911,0.966,0.938,0.551,0.584,0.567,0.628,0.83
Bombusvestalis,0.902,0.947,0.924,0.563,0.591,0.577,0.629,0.839
Andrenahaemorrhoa,0.955,0.975,0.965,0.767,0.783,0.775,0.65,0.853
Anthidiellumstrigatum,0.958,0.869,0.911,0.602,0.546,0.573,0.644,0.863
Andrenaflorea,0.914,0.953,0.933,0.561,0.584,0.572,0.632,0.881
Hylaeusvariegatus,0.951,0.936,0.944,0.748,0.736,0.742,0.662,0.815
Bombusruderatus,0.925,0.916,0.92,0.651,0.645,0.648,0.649,0.805
Anthidiumseptemspinosum,0.919,0.938,0.928,0.527,0.538,0.532,0.628,0.815
Halictusscabiosae,0.904,0.947,0.925,0.703,0.737,0.72,0.653,0.803
Heriadestruncorum,0.963,0.92,0.941,0.71,0.679,0.694,0.638,0.824
Rhodanthidiumseptemdentatum,0.848,0.949,0.896,0.47,0.525,0.496,0.648,0.822
Megachilecentuncularis,0.945,0.929,0.937,0.664,0.652,0.658,0.663,0.814
Xylocopavalga,0.96,0.954,0.957,0.54,0.537,0.539,0.646,0.844
Sphecodesalbilabris,0.9,0.923,0.912,0.593,0.608,0.6,0.631,0.834
Nomadagoodeniana,0.875,0.951,0.911,0.63,0.685,0.656,0.66,0.754
Andrenaclarkella,0.898,0.954,0.925,0.517,0.549,0.532,0.629,0.868
Anthophorabimaculata,0.864,0.931,0.896,0.479,0.515,0.496,0.623,0.857
Osmiaaurulenta,0.918,0.927,0.922,0.464,0.468,0.466,0.634,0.853
Andrenagravida,0.929,0.948,0.938,0.714,0.729,0.722,0.647,0.81
Andrenaventralis,0.881,0.929,0.904,0.649,0.685,0.667,0.64,0.795
Andrenacineraria,0.929,0.969,0.949,0.688,0.718,0.703,0.657,0.83
Bombushumilis,0.876,0.956,0.914,0.503,0.548,0.525,0.639,0.861
Anthidiumoblongatum,0.915,0.921,0.918,0.56,0.564,0.562,0.632,0.8
Halictussexcinctus,0.879,0.897,0.888,0.616,0.629,0.622,0.647,0.783
Nomadalathburiana,0.939,0.903,0.921,0.697,0.67,0.683,0.656,0.755
allspecies,0.915,0.94,0.927,0.652,0.67,0.661,0.648,0.827
